tick,day,cost_of_goods,opinion_mean,opinion_std,opinion_min,opinion_max,disposition_mean,disposition_max,count_quiet,count_agitated,count_flight,count_protest,count_riot,count_mob,count_employed,count_unhoused,avg_connections,homophily
1143,222,102.69051678346366,0.09733414246750724,0.7049633332240931,-0.9060725301145752,0.9747043138177088,0.13004313646915316,0.7777598493827612,2,12,35,1,0,0,44,6,6.84,0.95312955791941
1144,222,102.69051678346366,0.09733414246750724,0.7049633332240931,-0.9060725301145752,0.9747043138177088,0.13187052619545528,0.7923488181344528,0,12,37,1,0,0,44,6,6.84,0.9536448860660076
1145,223,102.69051678346366,0.09761862422416547,0.7068078793252544,-0.9060725301145752,0.9895039621517441,0.14742101671529734,0.8402921215707481,0,11,39,0,0,0,44,6,6.84,0.9537463655411845
1146,223,102.69051678346366,0.09851165843711268,0.68948191665038,-0.8770167373054993,0.9772246965376074,0.15645376477185036,0.5596353325235799,0,7,37,5,1,0,44,6,6.84,0.9538216725137709
1147,224,102.69051678346366,0.09979232433653308,0.6927621226844682,-0.8770167373054993,0.9772246965376074,0.1535806480832516,0.7882329346357996,2,9,35,3,1,0,44,6,6.84,0.9529786822813839
1148,224,102.69051678346366,0.09979232433653308,0.6927621226844682,-0.8770167373054993,0.9772246965376074,0.10632786674943734,0.7333349434305095,5,12,32,1,0,0,44,6,6.84,0.9531009029372403
1149,225,102.69051678346366,0.09909174486734663,0.7016376757820932,-0.8770167373054993,0.9772246965376074,0.11525159350662119,0.6777235469030144,2,16,32,0,0,0,44,6,6.84,0.9530663296147699
1150,225,102.69051678346366,0.09909174486734663,0.7016376757820932,-0.8770167373054993,0.9772246965376074,0.09480883949654448,0.6298587364396663,3,17,30,0,0,0,44,6,6.84,0.9530663296147699
1151,226,102.69051678346366,0.09790766958063085,0.7052240196998005,-0.9542506796726243,0.9530965582342693,0.0998559131523983,0.5767934416883224,7,13,29,0,1,0,44,6,6.84,0.9487474023054142
1152,226,102.69051678346366,0.09790766958063085,0.7052240196998005,-0.9542506796726243,0.9530965582342693,0.07739111054347225,0.7232536990355323,5,15,29,0,1,0,44,6,6.84,0.9488628638354162
1153,227,102.69051678346366,0.09667827960533124,0.7111158883690754,-0.9466483623784866,0.9701615715144911,0.08715134365941676,0.46892401386105964,4,10,35,0,1,0,44,6,6.84,0.9492926444763014
1154,227,102.69051678346366,0.09667827960533124,0.7111158883690754,-0.9466483623784866,0.9701615715144911,0.11106425243604598,0.7972007407530131,2,14,33,0,1,0,44,6,6.84,0.9498090946003
1155,228,102.69051678346366,0.09893076686178222,0.7187689679731945,-0.9538521378277474,0.9701615715144911,0.08884406310722541,0.7966057066860237,3,14,33,0,0,0,44,6,6.84,0.9505665391039013
1156,228,102.69051678346366,0.09881181062544236,0.7002530993490617,-0.9247443447993456,0.9493123812071724,0.149506631363129,0.6855564281487301,1,10,37,1,1,0,44,6,6.84,0.9513352020429097
1157,229,102.69051678346366,0.09637458337534907,0.7032722584608395,-0.9247443447993456,0.961619552215349,0.18053527494413393,0.6962977784701869,0,11,37,1,1,0,44,6,6.84,0.948651749074063
1158,229,102.69051678346366,0.09637458337534907,0.7032722584608395,-0.9247443447993456,0.961619552215349,0.15339958496981598,0.7146375219790589,1,13,35,0,1,0,44,6,6.84,0.949496026080931
1159,230,102.69051678346366,0.09693582628627702,0.7101944187044871,-0.9247443447993456,0.9772388260149213,0.14140260424183027,1.0272501163993693,1,14,34,0,1,0,44,6,6.84,0.9514963660831284
